DateTime,Entries,UniqueIPs
1488540989,172,172
1488548694,176,176
1488556389,174,174
1488560227,178,178
1488564127,179,179
1488567896,184,184
1488571722,185,185
1488575577,187,187
1488579438,188,188
1488583584,190,190
1488587340,188,188
1488591169,184,184
1488598849,182,182
1488602698,179,179
1488606544,178,178
1488610365,173,173
1488614211,169,169
1488618116,166,166
1488625586,167,167
1488629346,166,166
1488633173,168,168
1488637008,164,164
1488640860,166,166
1488648544,168,168
1488652358,168,168
1488656208,170,170
1488660043,167,167
1488663880,168,168
1488667739,168,168
1488671590,167,167
1488675423,166,166
1488679334,163,163
1488683342,160,160
1488687174,161,161
1488691015,158,158
1488694841,156,156
1488698689,152,152
1488702546,154,154
1488706520,154,154
1488710225,151,151
1488714079,150,150
1488717875,153,153
1488721729,151,151
1488725584,152,152
1488729431,153,153
1488733337,152,152
1488737343,152,152
1488741185,156,156
1488745010,157,157
1488748874,157,157
1488764430,154,154
1488768293,154,154
1488772116,154,154
1488775966,154,154
1488779828,147,147
1488787742,149,149
1488795410,150,150
1488799256,152,152
1488803091,152,152
1488806913,151,151
1488810787,151,151
1488814613,149,149
1488818452,149,149
1488822287,151,151
1488826152,152,152
1488829950,158,158
1488833820,160,160
1488837737,159,159
1488841489,159,159
1488845344,163,163
1488849168,165,165
1488853269,156,156
1488857340,155,155
1488861186,148,148
1488865030,148,148
1488868860,144,144
1488872680,146,146
1488876547,143,143
1488880354,144,144
1488888149,147,147
1488899804,143,143
1488903663,144,144
1488907494,147,147
1488911313,151,151
1488915163,154,154
1488919007,155,155
1488922846,152,152
1488926672,147,147
1488930546,142,142
1488934356,140,140
1488938211,134,134
1488942118,134,134
1488949741,135,135
1488953558,137,137
1488957434,137,137
1488961277,138,138
1488965098,138,138
1488968940,139,139
1488972788,136,136
1488976614,134,134
1488980434,134,134
1488984282,134,134
1488988126,133,133
1488991993,133,133
1488995828,132,132
1488999914,132,132
1489003754,136,136
1489007577,138,138
1489011427,139,139
1489015259,138,138
1489019101,138,138
1489026775,136,136
1489030619,137,137
1489034468,135,135
1489038276,134,134
1489042145,138,138
1489045978,139,139
1489049826,140,140
1489053729,143,143
1489061615,144,144
1489065694,145,145
1489073337,143,143
1489077167,145,145
1489081020,149,149
1489084855,152,152
1489088695,157,157
1489092554,159,159
1489096364,155,155
1489100210,151,151
1489104113,151,151
1489107895,150,150
1489111725,146,146
1489115574,147,147
1489119419,145,145
1489123278,145,145
1489127157,143,143
1489130939,144,144
1489134765,148,148
1489142462,146,146
1489146295,144,144
1489153987,141,141
1489157824,142,142
1489161749,145,145
1489169342,146,146
1489173184,149,149
1489177012,150,150
1489180867,148,148
1489184677,145,145
1489188532,143,143
1489192383,140,140
1489196211,139,139
1489203893,140,140
1489207731,140,140
1489211582,140,140
1489215435,141,141
1489219340,145,145
1489223087,148,148
1489226935,148,148
1489230785,151,151
1489234598,155,155
1489238469,155,155
1489242294,151,151
1489246147,152,152
1489249986,152,152
1489253821,151,151
1489257647,150,150
1489261491,153,153
1489265278,156,156
1489269167,155,155
1489273002,152,152
1489276930,151,151
1489280948,141,141
1489284791,142,142
1489288600,143,143
1489292479,142,142
1489296289,142,142
1489300151,143,143
1489303955,146,146
1489307808,149,149
1489311685,147,147
1489315491,148,148
1489319327,150,150
1489323182,149,149
1489327009,152,152
1489330917,149,149
1489334690,149,149
1489338557,148,148
1489342370,148,148
1489346498,143,143
1489350328,138,138
1489354131,139,139
1489357966,140,140
1489361820,142,142
1489365642,140,140
1489373340,138,138
1489381016,141,141
1489388688,143,143
1489396413,141,141
1489400236,143,143
1489404087,142,142
1489407898,144,144
1489411753,145,145
1489415599,146,146
1489419423,142,142
1489423278,144,144
1489427089,144,144
1489430949,145,145
1489434806,147,147
1489438614,143,143
1489442569,141,141
1489446320,141,141
1489450150,141,141
1489453997,144,144
1489461670,145,145
1489469351,144,144
