DateTime,AddedIPs,RemovedIPs
1486161928,256,256
1486168692,256,256
1486222202,3328,3328
1486235729,512,512
1486242919,256,256
1486244720,256,256
1486247758,256,256
1486250127,256,256
1486269935,256,256
1486284335,256,256
1486301402,2816,2816
1486304119,256,256
1486311319,256,256
1486314921,256,256
1486316728,512,512
1486329329,256,256
1486334176,256,256
1486338334,256,256
1486341960,256,256
1486345536,256,256
1486398715,2304,2304
1486404925,256,256
1486413194,256,256
1486416396,256,256
1486417530,256,256
1486419328,256,256
1486420625,256,256
1486422931,512,512
1486434195,256,256
1486477802,3072,3072
1486480518,256,256
1486484117,256,256
1486485922,256,256
1486493124,256,256
1486494919,256,256
1486498943,256,256
1486502129,256,256
1486511125,256,256
1486513864,256,256
1486557002,2048,2048
1486559717,512,512
1486563320,256,256
1486574128,512,512
1486577728,256,256
1486579526,256,256
1486586734,512,512
1486588531,512,512
1486589593,256,256
1486654202,3584,3584
1486655121,256,256
1486656917,256,256
1486664124,256,256
1486665143,256,256
1486673125,512,512
1486680334,256,256
1486683934,256,256
1486733251,3072,3072
1486745122,256,256
1486748725,512,512
1486750520,256,256
1486752329,256,256
1486755931,256,256
1486761327,256,256
1486769614,256,256
1486772135,256,256
1486827001,3584,3584
1486829724,256,256
1486833754,256,256
1486835123,256,256
1486836924,256,256
1486838719,256,256
1486844127,256,256
1486845928,512,512
1486847731,256,256
1486848659,256,256
1486851327,256,256
1486854931,256,256
1486856006,256,256
1486916611,2560,2560
1486923327,256,256
1486927908,256,256
1486930526,256,256
1486934131,256,256
1486935129,256,256
1486939528,256,256
1486942323,256,256
1486999801,2816,2816
1487000718,256,256
1487018720,256,256
1487027728,512,512
1487028987,256,256
1487033128,256,256
1487054729,256,256
1487074534,256,256
1487078865,3072,3072
1487079922,256,256
1487081718,256,256
1487083523,512,512
1487092521,256,256
1487093543,512,512
1487097926,256,256
1487103330,256,256
1487105130,256,256
1487114134,256,256
1487115376,256,256
1487119536,256,256
1487150140,256,256
1487165402,2816,2816
1487166325,256,256
1487172765,256,256
1487178932,512,512
1487182528,256,256
1487186133,256,256
1487187169,512,512
1487191536,256,256
1487200536,256,256
1487201829,256,256
1487266202,2048,2048
1487267126,256,256
1487268920,512,512
1487271602,256,256
1487276123,256,256
1487279732,256,256
1487280999,256,256
1487290532,256,256
1487381043,3840,3840
1487470885,0,4864
1487520904,1792,0
1487522707,3328,256
1487524515,1280,1280
1487525439,2560,2560
1487526310,768,768
1487528113,1280,1280
1487530522,512,512
1487531716,256,256
1487533670,768,768
1487537124,256,256
1487538921,512,512
1487541951,256,256
1487546132,256,256
1487550149,256,256
1487601001,2048,2048
1487601917,256,256
1487603718,256,256
1487615580,256,256
1487618127,512,512
1487621729,256,256
1487623113,512,512
1487626564,256,256
1487683802,2816,2816
1487689202,256,256
1487694849,256,256
1487702085,256,256
1487709804,256,256
1487711734,256,256
1487715333,256,256
1487717135,256,256
1487747739,256,256
1487752943,256,256
1487777486,3072,3072
1487780121,256,256
1487783727,256,256
1487789127,256,256
1487792201,256,256
1487798131,256,256
1487801732,256,256
1487806711,256,256
1487832336,256,256
1487856714,2816,2816
1487859319,256,256
1487866522,256,256
1487871426,256,256
